11:45:53 - CPU: 3.4% | Memory: 3.1% (1.6 GB)
11:47:37 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:38 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:39 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:47:40 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:41 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:42 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:43 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:44 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:46 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:47 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:48 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:49 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:47:50 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:51 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:52 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:53 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:54 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:55 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:57 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:58 - CPU: 6.5% | Memory: 3.1% (1.6 GB)
11:47:59 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:48:00 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:48:01 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:02 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:03 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:04 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:05 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:07 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:08 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:09 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:10 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:11 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:12 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:13 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:14 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:15 - CPU: 6.0% | Memory: 3.1% (1.6 GB)
11:48:16 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:18 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:19 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:20 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:48:21 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:22 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:23 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:24 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:48:25 - CPU: 6.0% | Memory: 3.1% (1.6 GB)
11:48:26 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:27 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:48:28 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:48:29 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
