11:49:03 - CPU: 4.4% | Memory: 3.1% (1.6 GB)
11:50:01 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:50:02 - CPU: 51.5% | Memory: 3.7% (2.1 GB)
11:50:03 - CPU: 48.5% | Memory: 3.7% (2.1 GB)
11:50:04 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:50:05 - CPU: 50.2% | Memory: 3.7% (2.1 GB)
11:50:06 - CPU: 50.2% | Memory: 3.7% (2.1 GB)
11:50:07 - CPU: 50.2% | Memory: 3.7% (2.1 GB)
11:50:08 - CPU: 47.5% | Memory: 3.7% (2.1 GB)
11:50:09 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:50:10 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:50:11 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:50:12 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:50:13 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:50:14 - CPU: 50.1% | Memory: 3.7% (2.0 GB)
11:50:15 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:50:16 - CPU: 49.9% | Memory: 3.7% (2.1 GB)
11:50:18 - CPU: 48.7% | Memory: 3.7% (2.1 GB)
11:50:19 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:50:20 - CPU: 50.0% | Memory: 3.6% (2.0 GB)
11:50:21 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:50:22 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:50:23 - CPU: 48.3% | Memory: 3.7% (2.1 GB)
11:50:24 - CPU: 50.0% | Memory: 3.7% (2.0 GB)
11:50:25 - CPU: 50.0% | Memory: 3.6% (2.0 GB)
11:50:26 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:50:27 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:50:28 - CPU: 48.4% | Memory: 3.6% (2.0 GB)
11:50:29 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:50:30 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:50:31 - CPU: 43.8% | Memory: 3.6% (2.0 GB)
11:50:32 - CPU: 43.8% | Memory: 3.6% (2.0 GB)
11:50:33 - CPU: 43.2% | Memory: 3.6% (2.0 GB)
11:50:34 - CPU: 43.8% | Memory: 3.6% (2.0 GB)
11:50:35 - CPU: 39.3% | Memory: 3.5% (1.9 GB)
11:50:36 - CPU: 37.6% | Memory: 3.5% (1.9 GB)
11:50:38 - CPU: 37.0% | Memory: 3.5% (1.9 GB)
11:50:39 - CPU: 37.6% | Memory: 3.5% (1.9 GB)
11:50:40 - CPU: 37.5% | Memory: 3.5% (1.9 GB)
11:50:41 - CPU: 36.2% | Memory: 3.4% (1.9 GB)
11:50:42 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:50:43 - CPU: 30.4% | Memory: 3.4% (1.9 GB)
11:50:44 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:50:45 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:50:46 - CPU: 31.3% | Memory: 3.4% (1.8 GB)
11:50:47 - CPU: 31.4% | Memory: 3.4% (1.8 GB)
11:50:48 - CPU: 30.4% | Memory: 3.4% (1.8 GB)
11:50:49 - CPU: 31.3% | Memory: 3.4% (1.8 GB)
11:50:50 - CPU: 31.2% | Memory: 3.4% (1.8 GB)
11:50:51 - CPU: 27.1% | Memory: 3.3% (1.8 GB)
11:50:52 - CPU: 23.9% | Memory: 3.3% (1.8 GB)
11:50:54 - CPU: 24.7% | Memory: 3.3% (1.8 GB)
11:50:55 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:50:56 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:50:57 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:50:58 - CPU: 24.9% | Memory: 3.3% (1.8 GB)
11:50:59 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:00 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:01 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:51:02 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:03 - CPU: 24.2% | Memory: 3.3% (1.8 GB)
11:51:04 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:51:05 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:06 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:08 - CPU: 24.5% | Memory: 3.3% (1.8 GB)
11:51:09 - CPU: 24.9% | Memory: 3.3% (1.8 GB)
11:51:10 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:11 - CPU: 25.2% | Memory: 3.3% (1.8 GB)
11:51:12 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:51:13 - CPU: 24.5% | Memory: 3.3% (1.8 GB)
11:51:14 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:51:15 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
