11:58:07 - CPU: 3.7% | Memory: 3.1% (1.6 GB)
11:59:12 - CPU: 50.2% | Memory: 3.7% (2.1 GB)
11:59:13 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:14 - CPU: 48.1% | Memory: 3.7% (2.1 GB)
11:59:15 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:16 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:17 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:18 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:19 - CPU: 48.5% | Memory: 3.7% (2.1 GB)
11:59:20 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:21 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:22 - CPU: 49.8% | Memory: 3.7% (2.1 GB)
11:59:23 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:24 - CPU: 48.9% | Memory: 3.7% (2.1 GB)
11:59:25 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:26 - CPU: 50.2% | Memory: 3.7% (2.1 GB)
11:59:27 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:28 - CPU: 49.8% | Memory: 3.7% (2.1 GB)
11:59:29 - CPU: 48.0% | Memory: 3.7% (2.1 GB)
11:59:30 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:59:31 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:32 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:33 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:59:34 - CPU: 49.7% | Memory: 3.7% (2.0 GB)
11:59:35 - CPU: 48.0% | Memory: 3.6% (2.0 GB)
11:59:36 - CPU: 43.8% | Memory: 3.6% (2.0 GB)
11:59:37 - CPU: 43.9% | Memory: 3.6% (2.0 GB)
11:59:38 - CPU: 43.9% | Memory: 3.6% (2.0 GB)
11:59:39 - CPU: 41.7% | Memory: 3.6% (2.0 GB)
11:59:40 - CPU: 43.8% | Memory: 3.5% (1.9 GB)
11:59:41 - CPU: 37.8% | Memory: 3.5% (1.9 GB)
11:59:42 - CPU: 37.7% | Memory: 3.5% (1.9 GB)
11:59:43 - CPU: 37.3% | Memory: 3.5% (1.9 GB)
11:59:44 - CPU: 36.8% | Memory: 3.5% (1.9 GB)
11:59:45 - CPU: 37.6% | Memory: 3.5% (1.9 GB)
11:59:46 - CPU: 37.6% | Memory: 3.4% (1.9 GB)
11:59:47 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:59:48 - CPU: 30.2% | Memory: 3.4% (1.9 GB)
11:59:49 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:59:50 - CPU: 31.4% | Memory: 3.4% (1.9 GB)
11:59:51 - CPU: 31.2% | Memory: 3.4% (1.9 GB)
11:59:52 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:59:53 - CPU: 30.5% | Memory: 3.4% (1.9 GB)
11:59:54 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:59:55 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:59:56 - CPU: 31.4% | Memory: 3.4% (1.9 GB)
11:59:57 - CPU: 25.5% | Memory: 3.4% (1.8 GB)
11:59:58 - CPU: 24.5% | Memory: 3.4% (1.8 GB)
11:59:59 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:00 - CPU: 24.9% | Memory: 3.4% (1.8 GB)
12:00:01 - CPU: 26.2% | Memory: 3.4% (1.8 GB)
12:00:02 - CPU: 25.1% | Memory: 3.4% (1.8 GB)
12:00:03 - CPU: 24.9% | Memory: 3.4% (1.8 GB)
12:00:04 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:05 - CPU: 24.9% | Memory: 3.4% (1.8 GB)
12:00:07 - CPU: 25.2% | Memory: 3.4% (1.8 GB)
12:00:08 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:09 - CPU: 24.3% | Memory: 3.4% (1.8 GB)
12:00:10 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:11 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:12 - CPU: 24.7% | Memory: 3.4% (1.8 GB)
12:00:14 - CPU: 23.0% | Memory: 3.4% (1.8 GB)
12:00:15 - CPU: 24.7% | Memory: 3.4% (1.8 GB)
12:00:16 - CPU: 24.4% | Memory: 3.4% (1.8 GB)
12:00:17 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:18 - CPU: 24.7% | Memory: 3.4% (1.8 GB)
12:00:19 - CPU: 25.1% | Memory: 3.4% (1.8 GB)
12:00:20 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:21 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:22 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:23 - CPU: 24.4% | Memory: 3.4% (1.8 GB)
12:00:24 - CPU: 25.0% | Memory: 3.4% (1.8 GB)
12:00:25 - CPU: 24.2% | Memory: 3.3% (1.7 GB)
12:00:26 - CPU: 19.0% | Memory: 3.3% (1.8 GB)
12:00:27 - CPU: 18.8% | Memory: 3.3% (1.7 GB)
12:00:28 - CPU: 17.7% | Memory: 3.3% (1.7 GB)
12:00:29 - CPU: 18.9% | Memory: 3.3% (1.7 GB)
12:00:30 - CPU: 17.1% | Memory: 3.2% (1.7 GB)
12:00:31 - CPU: 12.5% | Memory: 3.2% (1.7 GB)
12:00:32 - CPU: 12.6% | Memory: 3.2% (1.7 GB)
12:00:33 - CPU: 12.1% | Memory: 3.2% (1.7 GB)
12:00:35 - CPU: 12.5% | Memory: 3.2% (1.7 GB)
12:00:36 - CPU: 12.6% | Memory: 3.2% (1.7 GB)
12:00:37 - CPU: 11.7% | Memory: 3.1% (1.6 GB)
12:00:38 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
12:00:39 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
12:00:40 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
12:00:41 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
12:00:42 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
12:00:43 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
12:00:44 - CPU: 25.3% | Memory: 4.2% (2.5 GB)
12:00:45 - CPU: 100.0% | Memory: 4.2% (2.6 GB)
12:00:46 - CPU: 100.0% | Memory: 4.2% (2.6 GB)
12:00:47 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:48 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:49 - CPU: 99.9% | Memory: 4.2% (2.5 GB)
12:00:50 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:51 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:52 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:53 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:54 - CPU: 99.6% | Memory: 4.2% (2.5 GB)
12:00:55 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:56 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:57 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:58 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:00:59 - CPU: 91.1% | Memory: 4.2% (2.5 GB)
12:01:00 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:01 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:02 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:03 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:04 - CPU: 97.9% | Memory: 4.2% (2.5 GB)
12:01:05 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:06 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:07 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:08 - CPU: 99.6% | Memory: 4.2% (2.5 GB)
12:01:09 - CPU: 97.4% | Memory: 4.2% (2.5 GB)
12:01:10 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:01:11 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:12 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:13 - CPU: 99.4% | Memory: 4.3% (2.6 GB)
12:01:14 - CPU: 94.2% | Memory: 4.3% (2.6 GB)
12:01:15 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:16 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:17 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:18 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:19 - CPU: 93.9% | Memory: 4.3% (2.6 GB)
12:01:20 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:21 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:22 - CPU: 99.3% | Memory: 4.3% (2.6 GB)
12:01:23 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:24 - CPU: 96.4% | Memory: 4.3% (2.6 GB)
12:01:25 - CPU: 98.1% | Memory: 4.3% (2.6 GB)
12:01:26 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:01:27 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:28 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:01:29 - CPU: 97.1% | Memory: 4.3% (2.6 GB)
12:01:30 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:31 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:32 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:33 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:34 - CPU: 97.3% | Memory: 4.3% (2.6 GB)
12:01:35 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:36 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:37 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:38 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:39 - CPU: 98.9% | Memory: 4.3% (2.6 GB)
12:01:40 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:41 - CPU: 99.3% | Memory: 4.3% (2.6 GB)
12:01:42 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:43 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:44 - CPU: 97.1% | Memory: 4.3% (2.6 GB)
12:01:45 - CPU: 99.2% | Memory: 4.3% (2.6 GB)
12:01:46 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:01:47 - CPU: 99.3% | Memory: 4.3% (2.6 GB)
12:01:48 - CPU: 99.7% | Memory: 4.3% (2.6 GB)
12:01:49 - CPU: 93.4% | Memory: 4.3% (2.6 GB)
12:01:50 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:01:51 - CPU: 99.6% | Memory: 4.3% (2.6 GB)
12:01:52 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:01:53 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:54 - CPU: 98.9% | Memory: 4.3% (2.6 GB)
12:01:55 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:01:56 - CPU: 99.6% | Memory: 4.3% (2.6 GB)
12:01:57 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:01:58 - CPU: 99.9% | Memory: 4.2% (2.5 GB)
12:01:59 - CPU: 98.3% | Memory: 4.3% (2.6 GB)
12:02:00 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:01 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:02 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:03 - CPU: 99.0% | Memory: 4.3% (2.6 GB)
12:02:04 - CPU: 98.5% | Memory: 4.3% (2.6 GB)
12:02:05 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:06 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:07 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:09 - CPU: 97.7% | Memory: 4.3% (2.6 GB)
12:02:10 - CPU: 99.4% | Memory: 4.3% (2.6 GB)
12:02:11 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:12 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:13 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:14 - CPU: 93.4% | Memory: 4.3% (2.6 GB)
12:02:15 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:02:16 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:17 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:18 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:19 - CPU: 97.1% | Memory: 4.3% (2.6 GB)
12:02:20 - CPU: 99.6% | Memory: 4.3% (2.6 GB)
12:02:21 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:22 - CPU: 99.4% | Memory: 4.3% (2.6 GB)
12:02:23 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:24 - CPU: 97.1% | Memory: 4.3% (2.6 GB)
12:02:25 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:26 - CPU: 99.6% | Memory: 4.3% (2.6 GB)
12:02:27 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:28 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:29 - CPU: 96.3% | Memory: 4.3% (2.6 GB)
12:02:30 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:31 - CPU: 99.7% | Memory: 4.3% (2.6 GB)
12:02:32 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:33 - CPU: 99.6% | Memory: 4.3% (2.6 GB)
12:02:34 - CPU: 98.6% | Memory: 4.3% (2.6 GB)
12:02:35 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:02:36 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:37 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:38 - CPU: 99.0% | Memory: 4.3% (2.6 GB)
12:02:39 - CPU: 95.2% | Memory: 4.3% (2.6 GB)
12:02:40 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:41 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:02:42 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:02:43 - CPU: 96.8% | Memory: 4.3% (2.6 GB)
12:02:44 - CPU: 97.7% | Memory: 4.3% (2.6 GB)
12:02:45 - CPU: 97.7% | Memory: 4.3% (2.6 GB)
12:02:46 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:47 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:48 - CPU: 99.9% | Memory: 4.2% (2.5 GB)
12:02:49 - CPU: 95.8% | Memory: 4.3% (2.6 GB)
12:02:50 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:51 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:52 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:53 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:02:54 - CPU: 98.8% | Memory: 4.3% (2.6 GB)
12:02:55 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:56 - CPU: 99.4% | Memory: 4.3% (2.6 GB)
12:02:57 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:02:58 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:02:59 - CPU: 95.2% | Memory: 4.3% (2.6 GB)
12:03:00 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:03:01 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:03:02 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:03 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:04 - CPU: 95.7% | Memory: 4.3% (2.6 GB)
12:03:05 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:06 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:07 - CPU: 99.7% | Memory: 4.3% (2.6 GB)
12:03:08 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:09 - CPU: 98.0% | Memory: 4.3% (2.6 GB)
12:03:10 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:11 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:12 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:13 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:14 - CPU: 97.6% | Memory: 4.3% (2.6 GB)
12:03:15 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:16 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:17 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:18 - CPU: 99.3% | Memory: 4.3% (2.6 GB)
12:03:19 - CPU: 96.6% | Memory: 4.3% (2.6 GB)
12:03:20 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:21 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:22 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:03:23 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:24 - CPU: 98.9% | Memory: 4.3% (2.6 GB)
12:03:25 - CPU: 99.6% | Memory: 4.3% (2.6 GB)
12:03:26 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:27 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:03:28 - CPU: 99.7% | Memory: 4.3% (2.6 GB)
12:03:29 - CPU: 94.9% | Memory: 4.3% (2.6 GB)
12:03:30 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:31 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:32 - CPU: 99.5% | Memory: 4.3% (2.6 GB)
12:03:33 - CPU: 97.5% | Memory: 4.3% (2.6 GB)
12:03:34 - CPU: 99.5% | Memory: 4.3% (2.6 GB)
12:03:35 - CPU: 98.6% | Memory: 4.3% (2.6 GB)
12:03:36 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:37 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:38 - CPU: 98.1% | Memory: 4.3% (2.6 GB)
12:03:39 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:40 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:41 - CPU: 99.5% | Memory: 4.3% (2.6 GB)
12:03:42 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:43 - CPU: 97.4% | Memory: 4.3% (2.6 GB)
12:03:44 - CPU: 97.3% | Memory: 4.3% (2.6 GB)
12:03:46 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:47 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:03:48 - CPU: 99.1% | Memory: 4.3% (2.6 GB)
12:03:49 - CPU: 98.0% | Memory: 4.3% (2.6 GB)
12:03:50 - CPU: 99.1% | Memory: 4.3% (2.6 GB)
12:03:51 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:52 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:53 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:54 - CPU: 99.5% | Memory: 4.3% (2.6 GB)
12:03:55 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:56 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:57 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:03:58 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:03:59 - CPU: 97.6% | Memory: 4.3% (2.6 GB)
12:04:00 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:01 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:02 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:03 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:04 - CPU: 97.4% | Memory: 4.3% (2.6 GB)
12:04:05 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:06 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:07 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:08 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:04:09 - CPU: 97.9% | Memory: 4.3% (2.6 GB)
12:04:10 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:11 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:12 - CPU: 99.3% | Memory: 4.3% (2.6 GB)
12:04:13 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:04:14 - CPU: 95.6% | Memory: 4.3% (2.6 GB)
12:04:15 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:16 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:17 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:18 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:19 - CPU: 97.7% | Memory: 4.3% (2.6 GB)
12:04:20 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:21 - CPU: 99.7% | Memory: 4.3% (2.6 GB)
12:04:22 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:23 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:24 - CPU: 97.3% | Memory: 4.3% (2.6 GB)
12:04:25 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:26 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:27 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:28 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:29 - CPU: 95.7% | Memory: 4.3% (2.6 GB)
12:04:30 - CPU: 99.5% | Memory: 4.3% (2.6 GB)
12:04:31 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:32 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:33 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:34 - CPU: 96.3% | Memory: 4.3% (2.6 GB)
12:04:35 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:36 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:37 - CPU: 99.7% | Memory: 4.3% (2.6 GB)
12:04:38 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:39 - CPU: 96.1% | Memory: 4.3% (2.6 GB)
12:04:40 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:04:41 - CPU: 98.3% | Memory: 4.3% (2.6 GB)
12:04:42 - CPU: 99.8% | Memory: 4.3% (2.6 GB)
12:04:43 - CPU: 100.0% | Memory: 4.2% (2.5 GB)
12:04:44 - CPU: 97.7% | Memory: 4.3% (2.6 GB)
12:04:45 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:46 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:47 - CPU: 100.0% | Memory: 4.3% (2.6 GB)
12:04:48 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:04:49 - CPU: 97.8% | Memory: 4.3% (2.6 GB)
12:04:50 - CPU: 99.9% | Memory: 4.3% (2.6 GB)
12:04:51 - CPU: 98.3% | Memory: 4.3% (2.6 GB)
