11:40:38 - CPU: 3.5% | Memory: 3.1% (1.6 GB)
11:41:49 - CPU: 50.0% | Memory: 3.7% (2.0 GB)
11:41:50 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:41:51 - CPU: 48.2% | Memory: 3.7% (2.1 GB)
11:41:52 - CPU: 50.2% | Memory: 3.7% (2.0 GB)
11:41:53 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:41:54 - CPU: 49.7% | Memory: 3.7% (2.1 GB)
11:41:55 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:56 - CPU: 49.2% | Memory: 3.7% (2.1 GB)
11:41:57 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:41:58 - CPU: 50.2% | Memory: 3.6% (2.0 GB)
11:41:59 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:42:00 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:42:02 - CPU: 48.1% | Memory: 3.7% (2.1 GB)
11:42:03 - CPU: 50.1% | Memory: 3.7% (2.0 GB)
11:42:04 - CPU: 50.1% | Memory: 3.7% (2.0 GB)
11:42:05 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:42:06 - CPU: 48.6% | Memory: 3.6% (2.0 GB)
11:42:07 - CPU: 50.0% | Memory: 3.7% (2.0 GB)
11:42:08 - CPU: 44.3% | Memory: 3.6% (2.0 GB)
11:42:09 - CPU: 43.8% | Memory: 3.6% (2.0 GB)
11:42:10 - CPU: 43.9% | Memory: 3.6% (2.0 GB)
11:42:11 - CPU: 42.4% | Memory: 3.6% (2.0 GB)
11:42:12 - CPU: 43.5% | Memory: 3.5% (1.9 GB)
11:42:13 - CPU: 37.5% | Memory: 3.5% (1.9 GB)
11:42:15 - CPU: 37.6% | Memory: 3.5% (1.9 GB)
11:42:16 - CPU: 37.5% | Memory: 3.5% (1.9 GB)
11:42:17 - CPU: 37.6% | Memory: 3.5% (1.9 GB)
11:42:18 - CPU: 37.2% | Memory: 3.5% (1.9 GB)
11:42:19 - CPU: 36.6% | Memory: 3.4% (1.9 GB)
11:42:20 - CPU: 31.2% | Memory: 3.4% (1.9 GB)
11:42:21 - CPU: 30.6% | Memory: 3.4% (1.9 GB)
11:42:22 - CPU: 31.3% | Memory: 3.4% (1.9 GB)
11:42:23 - CPU: 31.2% | Memory: 3.4% (1.8 GB)
11:42:24 - CPU: 31.3% | Memory: 3.4% (1.8 GB)
11:42:25 - CPU: 31.4% | Memory: 3.4% (1.8 GB)
11:42:26 - CPU: 30.7% | Memory: 3.4% (1.8 GB)
11:42:27 - CPU: 31.4% | Memory: 3.4% (1.8 GB)
11:42:28 - CPU: 31.5% | Memory: 3.4% (1.8 GB)
11:42:30 - CPU: 29.6% | Memory: 3.3% (1.8 GB)
11:42:31 - CPU: 24.8% | Memory: 3.3% (1.8 GB)
11:42:32 - CPU: 25.0% | Memory: 3.3% (1.7 GB)
11:42:33 - CPU: 24.8% | Memory: 3.3% (1.8 GB)
11:42:34 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:35 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:36 - CPU: 24.7% | Memory: 3.3% (1.8 GB)
11:42:37 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:38 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:39 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:40 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:41 - CPU: 24.5% | Memory: 3.3% (1.8 GB)
11:42:42 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:44 - CPU: 25.2% | Memory: 3.3% (1.8 GB)
11:42:45 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:46 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:47 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:48 - CPU: 24.9% | Memory: 3.3% (1.8 GB)
11:42:49 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:50 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:51 - CPU: 24.4% | Memory: 3.3% (1.8 GB)
11:42:52 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:53 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:54 - CPU: 25.1% | Memory: 3.3% (1.8 GB)
11:42:55 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:56 - CPU: 24.3% | Memory: 3.3% (1.8 GB)
11:42:57 - CPU: 25.0% | Memory: 3.3% (1.8 GB)
11:42:58 - CPU: 19.2% | Memory: 3.3% (1.7 GB)
11:43:00 - CPU: 18.7% | Memory: 3.3% (1.7 GB)
11:43:01 - CPU: 18.9% | Memory: 3.2% (1.7 GB)
11:43:02 - CPU: 18.4% | Memory: 3.3% (1.7 GB)
11:43:03 - CPU: 17.6% | Memory: 3.2% (1.7 GB)
11:43:04 - CPU: 12.6% | Memory: 3.2% (1.7 GB)
11:43:05 - CPU: 12.6% | Memory: 3.2% (1.7 GB)
11:43:06 - CPU: 12.2% | Memory: 3.2% (1.7 GB)
11:43:07 - CPU: 12.7% | Memory: 3.2% (1.7 GB)
11:43:08 - CPU: 10.7% | Memory: 3.1% (1.6 GB)
11:43:09 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:43:10 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:43:11 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:43:12 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:43:14 - CPU: 23.7% | Memory: 4.3% (2.6 GB)
11:43:15 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:16 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:17 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:43:18 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:19 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:20 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:43:21 - CPU: 49.9% | Memory: 4.3% (2.6 GB)
11:43:22 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:43:23 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:24 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:25 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:43:26 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:27 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:29 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:43:30 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:31 - CPU: 49.1% | Memory: 4.3% (2.6 GB)
11:43:32 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:33 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:34 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:35 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:36 - CPU: 49.0% | Memory: 4.3% (2.6 GB)
11:43:37 - CPU: 50.5% | Memory: 4.3% (2.6 GB)
11:43:38 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:39 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:40 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:42 - CPU: 48.3% | Memory: 4.3% (2.6 GB)
11:43:43 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:44 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:43:45 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:43:46 - CPU: 48.6% | Memory: 4.3% (2.6 GB)
11:43:47 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:48 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:43:49 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:43:50 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:51 - CPU: 47.9% | Memory: 4.3% (2.6 GB)
11:43:52 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:53 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:54 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:55 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:56 - CPU: 48.4% | Memory: 4.3% (2.6 GB)
11:43:58 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:43:59 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:00 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:01 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:02 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:44:03 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:04 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:05 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:06 - CPU: 48.9% | Memory: 4.3% (2.6 GB)
11:44:08 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:09 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:10 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:11 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:44:12 - CPU: 48.2% | Memory: 4.3% (2.6 GB)
11:44:13 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:44:14 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:15 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:16 - CPU: 46.6% | Memory: 4.3% (2.6 GB)
11:44:17 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:18 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:19 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:20 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:21 - CPU: 48.8% | Memory: 4.3% (2.6 GB)
11:44:23 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:24 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:44:25 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:44:26 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:27 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:28 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:29 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:30 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:31 - CPU: 49.3% | Memory: 4.3% (2.6 GB)
11:44:32 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:33 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:34 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:35 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:36 - CPU: 49.4% | Memory: 4.3% (2.6 GB)
11:44:37 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:39 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:40 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:41 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:42 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:43 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:44 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:45 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:46 - CPU: 46.1% | Memory: 4.3% (2.6 GB)
11:44:47 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:48 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:44:49 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:50 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:51 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:52 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:53 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:55 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:56 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:57 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:58 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:44:59 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:00 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:45:01 - CPU: 49.3% | Memory: 4.3% (2.6 GB)
11:45:02 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:03 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:04 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:05 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:07 - CPU: 49.0% | Memory: 4.3% (2.6 GB)
11:45:08 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:09 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:45:10 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:11 - CPU: 49.4% | Memory: 4.3% (2.6 GB)
11:45:12 - CPU: 50.0% | Memory: 4.3% (2.6 GB)
11:45:13 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:14 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:45:15 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
11:45:16 - CPU: 48.6% | Memory: 4.3% (2.6 GB)
11:45:17 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:18 - CPU: 50.1% | Memory: 4.3% (2.6 GB)
11:45:19 - CPU: 50.2% | Memory: 4.3% (2.6 GB)
